,ACC,ALKEM,ASIANPAINT,BAJAJ-AUTO,BRITANNIA,CIPLA,COALINDIA,COLPAL,DABUR,DRREDDY,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDUNILVR,ITC,IOC,INFY,KOTAKBANK,LT,MARICO,NTPC,NESTLEIND,PIDILITIND,POWERGRID,RELIANCE,TCS,TECHM,ULTRACEMCO,WIPRO
ACC,1,-0.088304751,0.07644673,-0.250576837,0.333377524,-0.352216966,0.104708817,0.0061653,-0.347682365,-0.263939922,0.184961244,0.220333216,0.346824497,0.076088069,-0.112777357,0.139873667,0.304759751,-0.080703305,0.202002944,0.341617826,-0.153669199,0.01709496,0.032869292,-0.129274595,0.261451218,0.164231941,-0.007104531,-0.045833796,0.390743629,0.38969312
ALKEM,-0.088304751,1,0.068328564,-0.174480686,-0.785906144,0.327870092,-0.075340003,0.452728972,0.727527381,0.819891961,-0.299140825,0.574109512,-0.677950033,-0.120814316,0.038756421,-0.263254741,-0.513326873,0.355188695,-0.074095661,0.17071395,0.410592199,0.208692912,-0.049750992,0.753140615,-0.165409973,-0.391540402,-0.13863498,-0.271497906,0.159037795,-0.527055204
ASIANPAINT,0.07644673,0.068328564,1,-0.297413457,0.181059872,-0.365007616,-0.587872984,0.060430141,0.526373622,0.063974987,0.077494096,0.141667852,0.322723039,-0.69228015,0.61960919,-0.526235072,-0.332934552,0.442540895,-0.336324587,-0.539352121,0.632494237,-0.147050503,0.381216987,0.400491286,-0.435629326,-0.010954176,0.33564407,-0.06902672,0.165470048,-0.254411511
BAJAJ-AUTO,-0.250576837,-0.174480686,-0.297413457,1,0.06143916,0.151939192,-0.030488222,-0.344399314,-0.201549715,-0.132439135,-0.004511542,0.182675871,0.230539369,0.246034335,0.223778213,0.096951854,-0.044838221,0.041806036,0.030311899,0.214655558,-0.13473106,0.109575059,-0.693815493,-0.085023894,-0.232735449,-0.032710781,0.043709716,-0.079269974,0.296233578,-0.217920015
BRITANNIA,0.333377524,-0.785906144,0.181059872,0.06143916,1,-0.353012364,-0.187274673,-0.44279443,-0.59114435,-0.651006516,0.488631839,-0.339264365,0.762723504,-0.124487099,0.18125818,-0.00167955,0.283560197,-0.009329043,-0.220268754,-0.160029887,-0.079575884,-0.366801491,0.197335786,-0.586959504,0.006151986,0.203893964,0.452637939,0.402526063,0.049879058,0.473065941
CIPLA,-0.352216966,0.327870092,-0.365007616,0.151939192,-0.353012364,1,0.187667906,-0.138746433,0.113422394,0.592671151,-0.006087773,-0.061894221,-0.640116636,0.271635835,-0.115730519,0.004851418,-0.201697592,0.08163743,-0.093979062,0.195609997,0.060193425,0.150996003,-0.127533757,0.140564712,0.155720205,-0.196071648,0.019994882,0.352037895,-0.326523542,-0.056633003
COALINDIA,0.104708817,-0.075340003,-0.587872984,-0.030488222,-0.187274673,0.187667906,1,0.2778495,-0.406078838,-0.118450794,-0.047452077,-0.360082913,-0.311085788,0.859806448,-0.87897827,0.824048,0.811265629,-0.818133684,0.793247019,0.413726043,-0.844930313,0.502288557,0.062690727,-0.495764912,0.910365294,0.613587046,-0.574785407,-0.17370246,-0.531498001,0.657647464
COLPAL,0.0061653,0.452728972,0.060430141,-0.344399314,-0.44279443,-0.138746433,0.2778495,1,0.415104686,0.243879866,-0.291201482,0.098403873,-0.393042111,0.136691327,-0.366748166,0.164766094,0.110320273,-0.22922328,0.319486294,0.1169748,-0.003911861,0.299881071,0.311185557,0.261719842,0.247906811,0.101786422,-0.421635219,-0.430184963,-0.154632398,-0.021418383
DABUR,-0.347682365,0.727527381,0.526373622,-0.201549715,-0.59114435,0.113422394,-0.406078838,0.415104686,1,0.726821424,-0.240652048,0.408813355,-0.419854122,-0.502700086,0.393337184,-0.557705562,-0.638518651,0.525556385,-0.33551608,-0.302891681,0.666351518,0.073383852,0.16016366,0.827093072,-0.459960159,-0.36519406,0.07261515,-0.239859139,0.102623689,-0.659593686
DRREDDY,-0.263939922,0.819891961,0.063974987,-0.132439135,-0.651006516,0.592671151,-0.118450794,0.243879866,0.726821424,1,-0.076037595,0.431762386,-0.713171203,-0.161225072,0.120606148,-0.422436162,-0.576382049,0.498032165,-0.327659872,0.110278881,0.478011043,0.179267825,0.002102624,0.723806942,-0.18689677,-0.466906142,0.132339889,0.056471345,0.025445638,-0.45401465
HCLTECH,0.184961244,-0.299140825,0.077494096,-0.004511542,0.488631839,-0.006087773,-0.047452077,-0.291201482,-0.240652048,-0.076037595,1,-0.053880546,0.31146787,-0.076335397,0.043211043,-0.165476963,0.029551642,0.274329884,-0.312148232,0.124617639,-0.0098818,-0.126651451,0.082571012,-0.214589213,0.051836406,-0.107010264,0.73526353,0.72653474,0.08520615,0.371597087
HDFCBANK,0.220333216,0.574109512,0.141667852,0.182675871,-0.339264365,-0.061894221,-0.360082913,0.098403873,0.408813355,0.431762386,-0.053880546,1,-0.084057892,-0.253272549,0.36099781,-0.37290194,-0.552529328,0.602448326,-0.209764863,0.43859631,0.395012188,0.060277541,-0.383696168,0.699964752,-0.46853483,-0.604850585,0.153683232,-0.159805469,0.773613155,-0.60737228
HDFCLIFE,0.346824497,-0.677950033,0.322723039,0.230539369,0.762723504,-0.640116636,-0.311085788,-0.393042111,-0.419854122,-0.713171203,0.31146787,-0.084057892,1,-0.253183692,0.386597291,-0.095390197,0.199208131,0.04633793,-0.115591721,-0.22406138,-0.045332185,-0.294303171,-0.120030289,-0.36195839,-0.231942635,0.221724384,0.326265282,0.018743118,0.371482251,0.189563055
HEROMOTOCO,0.076088069,-0.120814316,-0.69228015,0.246034335,-0.124487099,0.271635835,0.859806448,0.136691327,-0.502700086,-0.161225072,-0.076335397,-0.253272549,-0.253183692,1,-0.776826599,0.876353451,0.717038473,-0.724837853,0.670853749,0.586946383,-0.786998092,0.490414232,-0.137437278,-0.493005198,0.739452125,0.409117695,-0.561742952,-0.094625547,-0.390986734,0.509216999
HINDUNILVR,-0.112777357,0.038756421,0.61960919,0.223778213,0.18125818,-0.115730519,-0.87897827,-0.366748166,0.393337184,0.120606148,0.043211043,0.36099781,0.386597291,-0.776826599,1,-0.785122077,-0.704298711,0.767832913,-0.65816935,-0.416080536,0.787511414,-0.304693864,-0.17965776,0.524894983,-0.83842582,-0.395616547,0.555701863,0.08104472,0.538480124,-0.608504488
ITC,0.139873667,-0.263254741,-0.526235072,0.096951854,-0.00167955,0.004851418,0.824048,0.164766094,-0.557705562,-0.422436162,-0.165476963,-0.37290194,-0.095390197,0.876353451,-0.785122077,1,0.841997203,-0.876606098,0.808118058,0.428392699,-0.835376115,0.386654605,0.074667402,-0.626192345,0.748641888,0.565270433,-0.660962646,-0.206638449,-0.471919222,0.589743211
IOC,0.304759751,-0.513326873,-0.332934552,-0.044838221,0.283560197,-0.201697592,0.811265629,0.110320273,-0.638518651,-0.576382049,0.029551642,-0.552529328,0.199208131,0.717038473,-0.704298711,0.841997203,1,-0.886014789,0.751745758,0.211703297,-0.856507264,0.310835807,0.183288237,-0.756108952,0.821357999,0.813055955,-0.485935374,-0.175618828,-0.46699493,0.834348599
INFY,-0.080703305,0.355188695,0.442540895,0.041806036,-0.009329043,0.08163743,-0.818133684,-0.22922328,0.525556385,0.498032165,0.274329884,0.602448326,0.04633793,-0.724837853,0.767832913,-0.876606098,-0.886014789,1,-0.843133928,-0.102800589,0.835226759,-0.3034528,-0.128781563,0.689774889,-0.805938593,-0.779553374,0.73962406,0.348327825,0.59283784,-0.646816851
KOTAKBANK,0.202002944,-0.074095661,-0.336324587,0.030311899,-0.220268754,-0.093979062,0.793247019,0.319486294,-0.33551608,-0.327659872,-0.312148232,-0.209764863,-0.115591721,0.670853749,-0.65816935,0.808118058,0.751745758,-0.843133928,1,0.264651779,-0.759088144,0.429226342,0.009385361,-0.389734094,0.70569265,0.68368977,-0.736915248,-0.47241949,-0.344255437,0.479833987
LT,0.341617826,0.17071395,-0.539352121,0.214655558,-0.160029887,0.195609997,0.413726043,0.1169748,-0.302891681,0.110278881,0.124617639,0.43859631,-0.22406138,0.586946383,-0.416080536,0.428392699,0.211703297,-0.102800589,0.264651779,1,-0.368058761,0.340391266,-0.278140425,0.010420672,0.297965739,-0.187816243,-0.142350833,0.08078107,0.259274829,0.149150515
MARICO,-0.153669199,0.410592199,0.632494237,-0.13473106,-0.079575884,0.060193425,-0.844930313,-0.003911861,0.666351518,0.478011043,-0.0098818,0.395012188,-0.045332185,-0.786998092,0.787511414,-0.835376115,-0.856507264,0.835226759,-0.759088144,-0.368058761,1,-0.269619371,0.099553516,0.715524295,-0.749187858,-0.589984945,0.499119395,0.143966208,0.36786572,-0.673602409
NTPC,0.01709496,0.208692912,-0.147050503,0.109575059,-0.366801491,0.150996003,0.502288557,0.299881071,0.073383852,0.179267825,-0.126651451,0.060277541,-0.294303171,0.490414232,-0.304693864,0.386654605,0.310835807,-0.3034528,0.429226342,0.340391266,-0.269619371,1,-0.086349012,0.10597261,0.413189004,0.242915218,-0.437179346,-0.279263206,-0.094181339,0.064421753
NESTLEIND,0.032869292,-0.049750992,0.381216987,-0.693815493,0.197335786,-0.127533757,0.062690727,0.311185557,0.16016366,0.002102624,0.082571012,-0.383696168,-0.120030289,-0.137437278,-0.17965776,0.074667402,0.183288237,-0.128781563,0.009385361,-0.278140425,0.099553516,-0.086349012,1,-0.07845794,0.221831167,0.175173943,0.034782879,0.162398553,-0.517243654,0.333676213
PIDILITIND,-0.129274595,0.753140615,0.400491286,-0.085023894,-0.586959504,0.140564712,-0.495764912,0.261719842,0.827093072,0.723806942,-0.214589213,0.699964752,-0.36195839,-0.493005198,0.524894983,-0.626192345,-0.756108952,0.689774889,-0.389734094,0.010420672,0.715524295,0.10597261,-0.07845794,1,-0.572498807,-0.57241059,0.155078623,-0.164687423,0.44425692,-0.762077725
POWERGRID,0.261451218,-0.165409973,-0.435629326,-0.232735449,0.006151986,0.155720205,0.910365294,0.247906811,-0.459960159,-0.18689677,0.051836406,-0.46853483,-0.231942635,0.739452125,-0.83842582,0.748641888,0.821357999,-0.805938593,0.70569265,0.297965739,-0.749187858,0.413189004,0.221831167,-0.572498807,1,0.672675052,-0.483760192,-0.060272803,-0.595828615,0.795599053
RELIANCE,0.164231941,-0.391540402,-0.010954176,-0.032710781,0.203893964,-0.196071648,0.613587046,0.101786422,-0.36519406,-0.466906142,-0.107010264,-0.604850585,0.221724384,0.409117695,-0.395616547,0.565270433,0.813055955,-0.779553374,0.68368977,-0.187816243,-0.589984945,0.242915218,0.175173943,-0.57241059,0.672675052,1,-0.447194879,-0.37120431,-0.489235131,0.676797244
TCS,-0.007104531,-0.13863498,0.33564407,0.043709716,0.452637939,0.019994882,-0.574785407,-0.421635219,0.07261515,0.132339889,0.73526353,0.153683232,0.326265282,-0.561742952,0.555701863,-0.660962646,-0.485935374,0.73962406,-0.736915248,-0.142350833,0.499119395,-0.437179346,0.034782879,0.155078623,-0.483760192,-0.447194879,1,0.697000571,0.299936384,-0.074956648
TECHM,-0.045833796,-0.271497906,-0.06902672,-0.079269974,0.402526063,0.352037895,-0.17370246,-0.430184963,-0.239859139,0.056471345,0.72653474,-0.159805469,0.018743118,-0.094625547,0.08104472,-0.206638449,-0.175618828,0.348327825,-0.47241949,0.08078107,0.143966208,-0.279263206,0.162398553,-0.164687423,-0.060272803,-0.37120431,0.697000571,1,-0.104264199,0.221211874
ULTRACEMCO,0.390743629,0.159037795,0.165470048,0.296233578,0.049879058,-0.326523542,-0.531498001,-0.154632398,0.102623689,0.025445638,0.08520615,0.773613155,0.371482251,-0.390986734,0.538480124,-0.471919222,-0.46699493,0.59283784,-0.344255437,0.259274829,0.36786572,-0.094181339,-0.517243654,0.44425692,-0.595828615,-0.489235131,0.299936384,-0.104264199,1,-0.509304416
WIPRO,0.38969312,-0.527055204,-0.254411511,-0.217920015,0.473065941,-0.056633003,0.657647464,-0.021418383,-0.659593686,-0.45401465,0.371597087,-0.60737228,0.189563055,0.509216999,-0.608504488,0.589743211,0.834348599,-0.646816851,0.479833987,0.149150515,-0.673602409,0.064421753,0.333676213,-0.762077725,0.795599053,0.676797244,-0.074956648,0.221211874,-0.509304416,1
